class;Eccentricity;Aspect Ratio;Elongation;Solidity;Stochastic Convexity;Isoperimetric Factor;Maximal Indentation Depth ;Lobedness;Average Intensity;Average Contrast;Smoothness;Third moment;Uniformity;Entropy
Salix atrocinera ;0.92;2.52;0.62;0.98;1;0.63;0.01;0;0.02;0.08;0.01;0;0;0.72
Salix atrocinera ;0.89;2.2;0.56;0.98;1;0.64;0.01;0.01;0.03;0.09;0.01;0;0;1.01
Salix atrocinera ;0.85;1.95;0.49;0.99;1;0.7;0;0;0.02;0.07;0;0;0;0.74
Salix atrocinera ;0.89;2.3;0.58;0.97;1;0.65;0.02;0.04;0.03;0.09;0.01;0;0;0.91
Salix atrocinera ;0.93;2.9;0.66;0.98;1;0.58;0.01;0.01;0.02;0.07;0.01;0;0;0.91
Salix atrocinera ;0.84;1.86;0.47;0.99;1;0.76;0;0;0.06;0.13;0.02;0;0;1.65
Populus nigra ;0.7;1.21;0.36;0.92;0.99;0.61;0.02;0.1;0.09;0.2;0.04;0.02;0;1.54
Populus nigra ;0.66;1.21;0.33;0.95;1;0.76;0.01;0.03;0.02;0.1;0.01;0;0;0.53
Populus nigra ;0.61;1.1;0.33;0.92;0.98;0.62;0.03;0.12;0.05;0.16;0.03;0.01;0;1.11
Populus nigra ;0.71;1.25;0.38;0.94;1;0.69;0.02;0.07;0.03;0.12;0.01;0.01;0;0.72
Populus nigra ;0.67;1.14;0.38;0.9;1;0.61;0.03;0.15;0.06;0.16;0.02;0.01;0;1.14
Populus nigra ;0.5;1.01;0.3;0.92;1;0.64;0.02;0.09;0.05;0.16;0.02;0.01;0;1.05
Populus nigra ;0.61;1.06;0.34;0.9;1;0.68;0.03;0.19;0.06;0.16;0.03;0.01;0;1.23
Populus nigra ;0.57;1.04;0.35;0.89;1;0.62;0.03;0.2;0.03;0.11;0.01;0;0;0.63
Populus nigra ;0.69;1.16;0.38;0.92;1;0.61;0.03;0.17;0.06;0.17;0.03;0.01;0;1.08
Populus nigra ;0.6;1.08;0.33;0.92;1;0.66;0.02;0.11;0.04;0.15;0.02;0.01;0;0.83
Alnus sp. ;0.39;1.12;0.17;0.97;0.99;0.73;0.01;0.03;0.07;0.14;0.02;0;0;1.89
Alnus sp. ;0.62;1.33;0.28;0.97;1;0.78;0.01;0.01;0.05;0.12;0.01;0;0;1.2
Alnus sp. ;0.73;1.51;0.41;0.95;1;0.63;0.01;0.04;0.04;0.09;0.01;0;0;1.34
Alnus sp. ;0.64;1.3;0.32;0.93;0.98;0.65;0.02;0.06;0.03;0.08;0.01;0;0;1.24
Alnus sp. ;0.64;1.32;0.29;0.97;1;0.77;0.01;0.02;0.02;0.07;0;0;0;0.86
Alnus sp. ;0.74;1.55;0.39;0.96;0.99;0.68;0.01;0.03;0.02;0.06;0;0;0;0.88
Alnus sp. ;0.39;1.13;0.17;0.96;1;0.79;0.01;0.03;0.03;0.08;0.01;0;0;1.03
Alnus sp. ;0.53;1.25;0.23;0.97;1;0.83;0.01;0.01;0.05;0.11;0.01;0;0;1.55
Quercus robur ;0.88;1.81;0.63;0.84;0.84;0.38;0.04;0.35;0.05;0.13;0.02;0.01;0;1.14
Quercus robur ;0.88;1.74;0.58;0.83;0.92;0.42;0.04;0.3;0.04;0.1;0.01;0;0;1.1
Quercus robur ;0.87;1.88;0.62;0.82;0.85;0.33;0.05;0.4;0.04;0.12;0.01;0;0;1.01
Quercus robur ;0.94;2.42;0.73;0.82;0.86;0.33;0.08;1.18;0.05;0.12;0.01;0;0;1.31
Quercus robur ;0.93;2.22;0.66;0.82;0.89;0.36;0.04;0.26;0.06;0.15;0.02;0.01;0;1.35
Quercus robur ;0.91;2.11;0.7;0.81;0.85;0.31;0.05;0.41;0.04;0.11;0.01;0;0;1.16
Quercus robur ;0.89;2.05;0.65;0.82;0.84;0.35;0.05;0.45;0.04;0.12;0.01;0;0;1.1
Quercus robur ;0.94;2.39;0.67;0.84;0.91;0.37;0.04;0.28;0.05;0.12;0.01;0;0;1.26
Quercus robur ;0.88;1.77;0.64;0.85;0.87;0.34;0.05;0.49;0.06;0.15;0.02;0.01;0;1.38
Quercus robur ;0.86;1.74;0.62;0.86;0.89;0.32;0.05;0.47;0.06;0.16;0.03;0.01;0;1.33
Quercus robur ;0.82;1.67;0.6;0.84;0.86;0.32;0.05;0.43;0.08;0.19;0.03;0.01;0;1.54
Quercus robur ;0.82;1.6;0.6;0.85;0.88;0.31;0.06;0.57;0.07;0.16;0.03;0.01;0;1.47
Crataegus monogyna ;0.46;1.05;0.72;0.64;0.48;0.2;0.15;4.02;0.01;0.05;0;0;0;0.53
Crataegus monogyna ;0.51;1.05;0.62;0.74;0.6;0.28;0.13;3.22;0.01;0.07;0;0;0;0.52
Crataegus monogyna ;0.48;1.21;0.68;0.76;0.57;0.24;0.11;2.1;0.02;0.08;0.01;0;0;0.91
Crataegus monogyna ;0.53;1.04;0.52;0.77;0.84;0.34;0.11;2.38;0.03;0.08;0.01;0;0;0.94
Crataegus monogyna ;0.51;1.21;0.71;0.72;0.56;0.21;0.11;2.31;0.02;0.08;0.01;0;0;0.73
Crataegus monogyna ;0.64;1.23;0.61;0.77;0.62;0.24;0.12;2.82;0.03;0.1;0.01;0;0;0.75
Crataegus monogyna ;0.72;1.23;0.69;0.76;0.67;0.26;0.1;1.78;0.02;0.07;0.01;0;0;0.8
Crataegus monogyna ;0.48;1.1;0.53;0.82;0.82;0.34;0.12;2.43;0.01;0.04;0;0;0;0.31
Ilex aquifolium ;0.85;1.7;0.53;0.81;0.97;0.37;0.04;0.23;0.04;0.12;0.01;0.01;0;1.23
Ilex aquifolium ;0.84;1.56;0.53;0.77;0.95;0.28;0.04;0.29;0.02;0.09;0.01;0;0;0.81
Ilex aquifolium ;0.84;1.81;0.55;0.84;0.97;0.49;0.04;0.27;0.05;0.14;0.02;0.01;0;1.5
Ilex aquifolium ;0.83;1.66;0.49;0.89;0.99;0.57;0.02;0.09;0.03;0.1;0.01;0;0;1.1
Ilex aquifolium ;0.86;1.8;0.56;0.88;0.97;0.53;0.03;0.16;0.03;0.09;0.01;0;0;1
Ilex aquifolium ;0.85;1.74;0.5;0.93;1;0.62;0.01;0.04;0.03;0.08;0.01;0;0;1.19
Ilex aquifolium ;0.87;2.07;0.55;0.95;1;0.6;0.03;0.18;0.05;0.13;0.02;0.01;0;1.4
Ilex aquifolium ;0.87;2;0.53;0.97;0.99;0.67;0.01;0.02;0.02;0.07;0.01;0;0;0.78
Ilex aquifolium ;0.82;1.64;0.47;0.86;0.98;0.5;0.02;0.07;0.02;0.08;0.01;0;0;0.77
Ilex aquifolium ;0.84;1.86;0.52;0.91;0.98;0.61;0.03;0.15;0.04;0.12;0.01;0;0;1.12
Nerium oleander ;0.99;6.06;0.84;0.98;0.99;0.32;0.02;0.1;0.04;0.11;0.01;0;0;1.02
Nerium oleander ;0.98;6.02;0.84;0.97;1;0.3;0.02;0.11;0.03;0.1;0.01;0;0;0.85
Nerium oleander ;0.99;6.63;0.85;0.97;0.98;0.28;0.03;0.15;0.03;0.1;0.01;0;0;0.95
Nerium oleander ;0.98;5.83;0.83;0.96;1;0.31;0.01;0.04;0.02;0.07;0.01;0;0;0.66
Nerium oleander ;0.99;6.03;0.84;0.96;0.97;0.28;0.03;0.11;0.02;0.08;0.01;0;0;0.65
Nerium oleander ;0.99;6.29;0.84;0.97;1;0.29;0.02;0.1;0.03;0.09;0.01;0;0;0.81
Nerium oleander ;0.99;6.52;0.85;0.97;1;0.29;0.02;0.09;0.04;0.12;0.01;0;0;1.1
Nerium oleander ;0.98;5.87;0.83;0.95;0.98;0.32;0.04;0.29;0.04;0.12;0.01;0;0;1
Nerium oleander ;0.99;6.13;0.85;0.95;0.9;0.3;0.02;0.07;0.03;0.1;0.01;0;0;0.83
Nerium oleander ;0.99;6.18;0.84;0.98;0.99;0.32;0.01;0.03;0.05;0.14;0.02;0.01;0;1.17
Nerium oleander ;0.99;7.14;0.86;0.97;0.99;0.27;0.02;0.09;0.02;0.09;0.01;0;0;0.74
Betula pubescens ;0.48;1.21;0.35;0.9;1;0.51;0.03;0.17;0.08;0.17;0.03;0.01;0;1.6
Betula pubescens ;0.54;1.28;0.32;0.92;0.97;0.64;0.03;0.22;0.06;0.15;0.02;0.01;0;1.25
Betula pubescens ;0.55;1.27;0.31;0.93;1;0.6;0.02;0.06;0.04;0.13;0.02;0.01;0;0.95
Betula pubescens ;0.59;1.32;0.4;0.89;0.98;0.44;0.05;0.42;0.11;0.19;0.04;0.01;0;2.1
Betula pubescens ;0.65;1.39;0.41;0.9;0.96;0.51;0.03;0.13;0.06;0.15;0.02;0.01;0;1.18
Betula pubescens ;0.54;1.28;0.37;0.89;0.98;0.54;0.03;0.14;0.05;0.14;0.02;0.01;0;1.14
Betula pubescens ;0.43;1.28;0.39;0.85;0.97;0.46;0.05;0.5;0.07;0.16;0.03;0.01;0;1.36
Betula pubescens ;0.47;1.22;0.27;0.94;1;0.67;0.01;0.03;0.02;0.1;0.01;0;0;0.56
Betula pubescens ;0.49;1.22;0.38;0.9;0.99;0.54;0.03;0.19;0.1;0.18;0.03;0.01;0;1.9
Betula pubescens ;0.46;1.22;0.33;0.9;1;0.56;0.03;0.13;0.09;0.18;0.03;0.01;0;1.72
Betula pubescens ;0.73;1.53;0.46;0.87;0.97;0.49;0.03;0.21;0.03;0.1;0.01;0;0;0.77
Betula pubescens ;0.52;1.29;0.32;0.92;0.99;0.62;0.02;0.1;0.05;0.12;0.01;0;0;1.12
Betula pubescens ;0.6;1.35;0.36;0.94;1;0.64;0.02;0.07;0.05;0.13;0.02;0.01;0;0.94
Betula pubescens ;0.55;1.28;0.4;0.88;1;0.49;0.03;0.17;0.06;0.15;0.02;0.01;0;1.27
Tilia tomentosa ;0.45;1.14;0.38;0.91;0.97;0.55;0.05;0.42;0.11;0.19;0.03;0.01;0;2.24
Tilia tomentosa ;0.47;1.19;0.37;0.92;0.98;0.58;0.05;0.48;0.14;0.19;0.03;0.01;0;2.56
Tilia tomentosa ;0.55;1.24;0.4;0.91;0.97;0.51;0.05;0.39;0.08;0.17;0.03;0.01;0;1.58
Tilia tomentosa ;0.32;1.18;0.32;0.92;0.98;0.59;0.05;0.38;0.08;0.15;0.02;0;0;1.67
Tilia tomentosa ;0.64;1.37;0.43;0.91;0.96;0.45;0.06;0.56;0.12;0.19;0.04;0.01;0;2.21
Tilia tomentosa ;0.56;1.34;0.34;0.93;0.98;0.58;0.05;0.52;0.15;0.26;0.06;0.02;0;2.41
Tilia tomentosa ;0.5;1.25;0.3;0.94;0.98;0.67;0.05;0.44;0.1;0.23;0.05;0.03;0;1.45
Tilia tomentosa ;0.23;1.13;0.25;0.94;0.97;0.61;0.04;0.3;0.11;0.24;0.05;0.02;0;1.66
Tilia tomentosa ;0.46;1.14;0.23;0.96;0.98;0.71;0.04;0.27;0.12;0.22;0.05;0.02;0;1.99
Tilia tomentosa ;0.55;1.28;0.31;0.94;0.99;0.59;0.04;0.31;0.15;0.26;0.06;0.02;0;2.2
Tilia tomentosa ;0.32;1.11;0.27;0.95;0.99;0.7;0.05;0.54;0.11;0.22;0.04;0.02;0;1.85
Tilia tomentosa ;0.39;1.05;0.23;0.95;0.97;0.67;0.05;0.47;0.14;0.25;0.06;0.02;0;1.98
Tilia tomentosa ;0.36;1.06;0.26;0.94;0.97;0.59;0.05;0.45;0.19;0.28;0.07;0.02;0;2.66
Acer palmatum ;0.51;1.11;0.66;0.58;0.59;0.17;0.11;2.28;0.02;0.06;0;0;0;0.65
Acer palmatum ;0.55;1.11;0.64;0.57;0.6;0.16;0.13;3.11;0.02;0.08;0.01;0;0;0.72
Acer palmatum ;0.43;1.1;0.69;0.52;0.54;0.15;0.14;3.45;0.02;0.07;0.01;0;0;0.75
Acer palmatum ;0.39;1.07;0.63;0.51;0.59;0.14;0.12;2.75;0.03;0.1;0.01;0;0;1
Acer palmatum ;0.27;1.13;0.6;0.54;0.77;0.2;0.15;4.29;0.02;0.07;0.01;0;0;0.63
Acer palmatum ;0.24;1.05;0.61;0.57;0.79;0.22;0.13;2.85;0.04;0.13;0.02;0.01;0;0.83
Acer palmatum ;0.39;1.09;0.68;0.51;0.66;0.15;0.14;3.61;0.03;0.09;0.01;0;0;0.9
Acer palmatum ;0.4;1.1;0.66;0.53;0.68;0.18;0.13;3.08;0.03;0.1;0.01;0;0;0.82
Acer palmatum ;0.51;1.13;0.67;0.53;0.75;0.17;0.13;3.08;0.02;0.06;0;0;0;0.67
Acer palmatum ;0.48;1.07;0.69;0.52;0.5;0.14;0.13;3.07;0.02;0.08;0.01;0;0;0.77
Acer palmatum ;0.52;1.11;0.67;0.55;0.63;0.15;0.14;3.4;0.03;0.09;0.01;0;0;0.91
Acer palmatum ;0.36;1.08;0.68;0.49;0.69;0.14;0.12;2.81;0.04;0.12;0.01;0;0;0.92
Acer palmatum ;0.52;1.12;0.71;0.51;0.65;0.14;0.13;3.17;0.03;0.09;0.01;0;0;0.83
Acer palmatum ;0.38;1.04;0.69;0.49;0.64;0.13;0.12;2.56;0.03;0.09;0.01;0;0;0.85
Acer palmatum ;0.27;1.1;0.68;0.49;0.54;0.13;0.13;2.99;0.02;0.07;0.01;0;0;0.8
Acer palmatum ;0.45;1.01;0.63;0.57;0.81;0.16;0.11;2.25;0.03;0.09;0.01;0;0;0.86
Celtis sp. ;0.88;2.48;0.61;0.86;0.98;0.4;0.05;0.54;0.06;0.15;0.02;0.01;0;1.65
Celtis sp. ;0.92;2.6;0.63;0.95;1;0.5;0.02;0.11;0.07;0.15;0.02;0.01;0;1.62
Celtis sp. ;0.83;1.98;0.51;0.94;1;0.56;0.03;0.12;0.08;0.17;0.03;0.01;0;1.8
Celtis sp. ;0.88;2.47;0.61;0.88;0.99;0.46;0.06;0.59;0.08;0.16;0.03;0.01;0;1.84
Celtis sp. ;0.93;2.82;0.66;0.93;0.98;0.44;0.05;0.39;0.05;0.13;0.02;0.01;0;1.4
Celtis sp. ;0.91;2.62;0.63;0.93;0.99;0.52;0.02;0.08;0.05;0.13;0.02;0;0;1.33
Celtis sp. ;0.92;2.56;0.62;0.96;0.98;0.58;0.01;0.02;0.03;0.1;0.01;0;0;0.78
Celtis sp. ;0.9;2.35;0.6;0.94;0.98;0.46;0.03;0.18;0.1;0.18;0.03;0.01;0;2.31
Celtis sp. ;0.87;2.32;0.59;0.91;0.99;0.45;0.06;0.61;0.08;0.17;0.03;0.01;0;1.69
Celtis sp. ;0.93;2.89;0.67;0.93;0.96;0.43;0.04;0.23;0.05;0.13;0.02;0.01;0;1.32
Celtis sp. ;0.88;2.17;0.57;0.93;1;0.45;0.05;0.44;0.07;0.17;0.03;0.01;0;1.74
Celtis sp. ;0.87;2.18;0.57;0.94;0.99;0.53;0.04;0.36;0.06;0.14;0.02;0.01;0;1.5
Corylus avellana ;0.72;1.5;0.34;0.99;1;0.82;0;0;0.05;0.13;0.02;0;0;1.36
Corylus avellana ;0.73;1.54;0.36;0.99;1;0.79;0.01;0.01;0.05;0.12;0.01;0;0;1.27
Corylus avellana ;0.75;1.56;0.38;0.99;1;0.78;0;0;0.05;0.12;0.01;0;0;1.35
Corylus avellana ;0.74;1.53;0.35;0.98;1;0.81;0.01;0.01;0.03;0.11;0.01;0.01;0;0.6
Corylus avellana ;0.64;1.36;0.29;0.99;1;0.82;0;0;0.08;0.16;0.02;0.01;0;1.83
Corylus avellana ;0.62;1.31;0.26;0.99;1;0.82;0;0;0.07;0.15;0.02;0.01;0;1.71
Corylus avellana ;0.65;1.37;0.28;0.99;1;0.84;0.01;0.01;0.03;0.09;0.01;0;0;0.94
Corylus avellana ;0.7;1.49;0.34;0.98;1;0.78;0.01;0.01;0.08;0.17;0.03;0.01;0;1.78
Corylus avellana ;0.7;1.5;0.35;0.99;1;0.81;0;0;0.06;0.13;0.02;0;0;1.44
Corylus avellana ;0.7;1.45;0.34;0.99;1;0.8;0;0;0.04;0.11;0.01;0;0;1.14
Corylus avellana ;0.66;1.4;0.31;0.99;1;0.81;0.01;0.01;0.07;0.14;0.02;0;0;1.77
Corylus avellana ;0.67;1.4;0.31;0.98;1;0.8;0.01;0.01;0.12;0.18;0.03;0.01;0;2.51
Corylus avellana ;0.64;1.36;0.28;0.99;1;0.81;0.01;0.01;0.06;0.13;0.02;0;0;1.51
Castanea sativa ;0.91;2.46;0.61;0.97;1;0.56;0.01;0.02;0.09;0.19;0.03;0.01;0;1.69
Castanea sativa ;0.91;2.52;0.61;0.97;1;0.56;0.01;0.01;0.07;0.14;0.02;0.01;0;1.72
Castanea sativa ;0.91;2.46;0.61;0.97;0.98;0.56;0.01;0.01;0.09;0.19;0.03;0.01;0;1.85
Castanea sativa ;0.91;2.41;0.6;0.97;1;0.56;0.01;0.02;0.11;0.2;0.04;0.01;0;1.85
Castanea sativa ;0.86;1.97;0.51;0.97;1;0.68;0.01;0.01;0.05;0.14;0.02;0.01;0;1.01
Castanea sativa ;0.91;2.49;0.62;0.96;1;0.51;0.01;0.02;0.06;0.14;0.02;0;0;1.69
Castanea sativa ;0.94;2.81;0.66;0.97;1;0.58;0.01;0.01;0.05;0.13;0.02;0.01;0;1.22
Castanea sativa ;0.94;3.04;0.69;0.94;0.99;0.43;0.03;0.18;0.04;0.11;0.01;0;0;1.08
Castanea sativa ;0.9;2.25;0.58;0.96;1;0.58;0.01;0.01;0.06;0.15;0.02;0.01;0;1.46
Castanea sativa ;0.9;2.2;0.56;0.98;1;0.64;0.01;0.01;0.1;0.2;0.04;0.01;0;2.05
Castanea sativa ;0.88;2.1;0.55;0.97;1;0.62;0.01;0.01;0.1;0.2;0.04;0.01;0;2.01
Castanea sativa ;0.91;2.4;0.59;0.98;1;0.59;0.01;0.01;0.06;0.15;0.02;0.01;0;1.53
Populus alba ;0.41;1.04;0.48;0.78;0.87;0.3;0.08;1.19;0.05;0.13;0.02;0.01;0;1.49
Populus alba ;0.56;1.19;0.47;0.78;0.93;0.35;0.07;0.88;0.1;0.18;0.03;0.01;0;2.49
Populus alba ;0.49;1.12;0.46;0.8;0.9;0.31;0.07;0.98;0.1;0.18;0.03;0.01;0;2.48
Populus alba ;0.6;1.09;0.52;0.76;0.9;0.24;0.08;1.08;0.11;0.18;0.03;0.01;0;2.66
Populus alba ;0.54;1.23;0.45;0.79;0.94;0.38;0.07;0.95;0.04;0.12;0.01;0.01;0;1.26
Populus alba ;0.38;1.07;0.52;0.72;0.85;0.26;0.07;0.78;0.07;0.14;0.02;0.01;0;1.85
Populus alba ;0.54;1.08;0.56;0.74;0.78;0.27;0.08;1.17;0.09;0.16;0.03;0.01;0;2.27
Populus alba ;0.51;1.08;0.47;0.78;0.91;0.29;0.08;1.08;0.08;0.17;0.03;0.01;0;2.04
Populus alba ;0.44;1.08;0.5;0.74;0.87;0.26;0.08;1.15;0.1;0.17;0.03;0.01;0;2.39
Populus alba ;0.31;1.12;0.59;0.67;0.85;0.24;0.1;1.84;0.07;0.14;0.02;0.01;0;2.14
Primula vulgaris ;0.93;2.7;0.64;0.93;0.99;0.51;0.04;0.3;0.06;0.16;0.02;0.01;0;1.04
Primula vulgaris ;0.91;2.34;0.58;0.96;0.97;0.56;0.02;0.1;0.05;0.13;0.02;0.01;0;0.99
Primula vulgaris ;0.92;2.64;0.63;0.97;0.99;0.52;0.02;0.07;0.05;0.17;0.03;0.01;0;0.9
Primula vulgaris ;0.89;2.39;0.59;0.91;0.98;0.51;0.05;0.44;0.06;0.17;0.03;0.01;0;1.07
Primula vulgaris ;0.95;3.12;0.71;0.79;0.89;0.34;0.13;3.3;0.05;0.15;0.02;0.01;0;1.05
Primula vulgaris ;0.92;2.71;0.64;0.88;0.99;0.43;0.09;1.45;0.04;0.12;0.01;0;0;1.01
Primula vulgaris ;0.86;2.1;0.53;0.94;0.99;0.53;0.03;0.21;0.04;0.14;0.02;0.01;0;0.82
Primula vulgaris ;0.9;2.41;0.59;0.93;0.99;0.51;0.03;0.16;0.04;0.15;0.02;0.01;0;0.79
Primula vulgaris ;0.87;2.13;0.54;0.96;1;0.65;0.03;0.14;0.03;0.1;0.01;0;0;0.73
Primula vulgaris ;0.87;2.04;0.53;0.94;0.99;0.55;0.03;0.15;0.03;0.12;0.01;0.01;0;0.65
Primula vulgaris ;0.97;3.82;0.74;0.83;0.95;0.33;0.14;3.81;0.02;0.1;0.01;0;0;0.52
Primula vulgaris ;0.93;2.94;0.67;0.93;0.99;0.46;0.03;0.16;0.02;0.07;0.01;0;0;0.47
Erodium sp. ;0.62;1.24;0.33;0.94;0.96;0.64;0.02;0.11;0.02;0.1;0.01;0.01;0;0.37
Erodium sp. ;0.62;1.23;0.35;0.93;0.97;0.6;0.03;0.12;0.01;0.07;0;0;0;0.38
Erodium sp. ;0.62;1.16;0.48;0.92;0.85;0.45;0.1;1.72;0.01;0.08;0.01;0;0;0.36
Erodium sp. ;0.48;1.16;0.43;0.92;0.92;0.47;0.06;0.73;0.03;0.11;0.01;0;0;0.63
Erodium sp. ;0.57;1.19;0.48;0.91;0.79;0.39;0.09;1.45;0.03;0.1;0.01;0;0;0.66
Erodium sp. ;0.63;1.24;0.5;0.9;0.87;0.48;0.09;1.56;0.02;0.09;0.01;0;0;0.49
Erodium sp. ;0.59;1.14;0.3;0.93;0.92;0.57;0.04;0.31;0.02;0.09;0.01;0;0;0.54
Erodium sp. ;0.51;1.11;0.25;0.94;0.99;0.65;0.03;0.12;0.01;0.07;0.01;0;0;0.35
Erodium sp. ;0.6;1.23;0.42;0.94;0.95;0.55;0.06;0.63;0.02;0.07;0.01;0;0;0.44
Erodium sp. ;0.64;1.2;0.47;0.89;0.87;0.44;0.08;1.1;0.02;0.1;0.01;0.01;0;0.49
Erodium sp. ;0.65;1.24;0.45;0.91;0.89;0.58;0.07;0.91;0.01;0.06;0;0;0;0.26
Bougainvillea sp. ;0.65;1.47;0.35;0.96;0.99;0.71;0.02;0.07;0.06;0.13;0.02;0;0;1.36
Bougainvillea sp. ;0.55;1.3;0.26;0.97;1;0.78;0.01;0.03;0.02;0.08;0.01;0;0;0.61
Bougainvillea sp. ;0.44;1.2;0.19;0.98;1;0.83;0.01;0.02;0.03;0.1;0.01;0;0;0.73
Bougainvillea sp. ;0.64;1.43;0.3;0.97;1;0.78;0.01;0.03;0.03;0.08;0.01;0;0;0.91
Bougainvillea sp. ;0.64;1.49;0.34;0.96;1;0.73;0.02;0.06;0.02;0.07;0.01;0;0;0.82
Bougainvillea sp. ;0.58;1.34;0.29;0.95;1;0.71;0.03;0.13;0.07;0.13;0.02;0;0;1.63
Bougainvillea sp. ;0.45;1.21;0.2;0.97;0.99;0.8;0.02;0.05;0.02;0.07;0.01;0;0;0.66
Bougainvillea sp. ;0.68;1.49;0.33;0.97;0.98;0.77;0.01;0.03;0.01;0.04;0;0;0;0.29
Bougainvillea sp. ;0.12;1.09;0.17;0.98;1;0.82;0.02;0.05;0.03;0.09;0.01;0;0;1.03
Bougainvillea sp. ;0.53;1.31;0.26;0.97;1;0.77;0.02;0.06;0.05;0.12;0.01;0;0;1.19
Bougainvillea sp. ;0.53;1.25;0.22;0.98;1;0.82;0.01;0.02;0.05;0.1;0.01;0;0;1.34
Bougainvillea sp. ;0.35;1.15;0.2;0.97;1;0.71;0.02;0.06;0.03;0.1;0.01;0;0;0.87
Bougainvillea sp. ;0.65;1.46;0.33;0.97;1;0.75;0.02;0.05;0.01;0.05;0;0;0;0.49
Arisarum vulgare ;0.72;1.47;0.43;0.91;0.99;0.61;0.05;0.39;0.1;0.18;0.03;0.01;0;1.83
Arisarum vulgare ;0.72;1.38;0.38;0.95;0.99;0.68;0.03;0.11;0.1;0.23;0.05;0.02;0;1.5
Arisarum vulgare ;0.82;1.56;0.5;0.91;0.98;0.61;0.05;0.38;0.1;0.21;0.04;0.02;0;1.55
Arisarum vulgare ;0.83;1.63;0.49;0.93;0.97;0.63;0.05;0.37;0.13;0.26;0.07;0.03;0;1.75
Arisarum vulgare ;0.75;1.59;0.41;0.91;0.99;0.66;0.04;0.35;0.13;0.25;0.06;0.03;0;1.81
Arisarum vulgare ;0.78;1.54;0.43;0.95;0.98;0.65;0.04;0.27;0.13;0.24;0.06;0.02;0;1.85
Arisarum vulgare ;0.79;1.6;0.45;0.91;0.96;0.63;0.06;0.67;0.13;0.25;0.06;0.03;0;1.75
Arisarum vulgare ;0.83;1.66;0.49;0.96;1;0.66;0.02;0.1;0.12;0.25;0.06;0.03;0;1.7
Arisarum vulgare ;0.79;1.64;0.43;0.95;1;0.71;0.03;0.13;0.13;0.21;0.04;0.01;0;2.28
Euonymus japonicus ;0.73;1.5;0.35;0.98;1;0.8;0.01;0.01;0.03;0.1;0.01;0;0;0.88
Euonymus japonicus ;0.83;1.84;0.49;0.97;1;0.68;0.02;0.05;0.02;0.09;0.01;0;0;0.68
Euonymus japonicus ;0.56;1.25;0.24;0.98;1;0.81;0.01;0.01;0.06;0.18;0.03;0.02;0;0.99
Euonymus japonicus ;0.3;1.04;0.11;0.98;1;0.85;0.01;0.02;0.03;0.1;0.01;0;0;1.08
Euonymus japonicus ;0.48;1.16;0.17;0.98;1;0.71;0.01;0.01;0.04;0.11;0.01;0;0;1.01
Euonymus japonicus ;0.59;1.27;0.24;0.98;1;0.82;0.01;0.01;0.04;0.12;0.01;0;0;1.11
Euonymus japonicus ;0.32;1.07;0.14;0.98;1;0.82;0.01;0.03;0.08;0.18;0.03;0.01;0;1.5
Euonymus japonicus ;0.48;1.14;0.15;0.99;1;0.86;0.01;0.01;0.02;0.08;0.01;0;0;0.69
Euonymus japonicus ;0.87;2.08;0.55;0.96;0.98;0.56;0.02;0.07;0.04;0.11;0.01;0;0;1.07
